date,regime,portfolio_return,n_stocks,stocks
2025-05,Choppy,5.1428,20,"NESTLEIND,INDIGO,COLPAL,NAM-INDIA,HDFCAMC,ADANIPOWER,SCHNEIDER,BRITANNIA,TATACOMM,HINDZINC,TCS,COALINDIA,UJJIVAN,CREDITACC,CASTROLIND,MARICO,TITAN,POONAWALLA,TATAMOTORS,MAHABANK"
2025-06,Bull,-0.9045,20,"CARTRADE,GODFRYPHLP,AVANTIFEED,NH,MCX,COROMANDEL,BSE,ERIS,GREAVESCOT,BAJAJHLDNG,BAJAJ,DEEPAKFERT,ASTERDM,POLYMED,BHARTIARTL,AMBER,MFSL,SOLARINDS,FORTIS,LUPIN"
2025-07,Bull,-1.8406,20,"CARTRADE,GODFRYPHLP,AMBER,ERIS,MCX,ASTERDM,SOLARINDS,NH,COROMANDEL,BSE,DEEPAKFERT,ECLERX,BAJAJHLDNG,BAJAJ,SBICARD,MFSL,FORTIS,BHARTIARTL,CCL,GLAXO"
2025-08,Bull,0.3434,20,"CARTRADE,NH,MCX,MFSL,AMBER,SOLARINDS,LAURUSLABS,NAVINFLUOR,COROMANDEL,GODFRYPHLP,DEEPAKFERT,BSE,COFORGE,BAJAJHLDNG,BAJAJ,ASTERDM,SBICARD,FORTIS,SYRMA,RAMCOCEM"
2025-09,Bull,5.6491,20,"CARTRADE,SYRMA,AMBER,COROMANDEL,NH,LAURUSLABS,NAVINFLUOR,RAMCOCEM,GODFRYPHLP,BSE,MCX,ASTERDM,DEEPAKFERT,JKCEMENT,GLENMARK,FORTIS,BAJAJHLDNG,BAJAJ,MFSL,GREAVESCOT"
2025-10,Bull,1.167,20,"CARTRADE,GODFRYPHLP,CREDITACC,LAURUSLABS,SYRMA,JKCEMENT,ECLERX,COROMANDEL,THYROCARE,NAVINFLUOR,NH,FORTIS,LEMONTREE,SOLARINDS,EICHERMOT,ASHOKLEY,BSE,ASTERDM,RBLBANK,SRF"
2025-11,Bull,-1.0587,20,"CARTRADE,GODFRYPHLP,CREDITACC,TATAINVEST,EICHERMOT,MARUTI,NH,BAJFINANCE,MFSL,SYRMA,FORTIS,LAURUSLABS,JKCEMENT,AMBER,RBLBANK,NAVINFLUOR,GMDCLTD,LTF,ABCAPITAL,GVT&D"
2025-12,Bull,-3.0538,20,"CARTRADE,GODFRYPHLP,CREDITACC,NAVINFLUOR,THYROCARE,EICHERMOT,LAURUSLABS,BAJFINANCE,AUBANK,RBLBANK,INDIANB,GMDCLTD,UJJIVAN,LTF,CHENNPETRO,MARUTI,ABCAPITAL,SOUTHBANK,NH,NETWEB"
2026-01,Bull,2.0503,20,"CARTRADE,GODFRYPHLP,THYROCARE,CCL,NETWEB,LAURUSLABS,MCX,SHRIRAMFIN,ASHOKLEY,SYRMA,LTF,AUBANK,ABCAPITAL,MFSL,RBLBANK,CHENNPETRO,CUB,UJJIVAN,GMDCLTD,INDIANB"
2026-02,Bull,-11.1008,20,"CARTRADE,IIFL,SYRMA,ASHOKLEY,NETWEB,LAURUSLABS,MCX,AUBANK,GMDCLTD,MFSL,ABCAPITAL,CUB,HINDCOPPER,LTF,INDIANB,NATIONALUM,GVT&D,CHENNPETRO,RBLBANK,CANBK"
2026-03,Choppy,14.7469,20,"STAR,COLPAL,ASTERDM,NESTLEIND,HINDZINC,INDIGO,NAM-INDIA,HDFCAMC,TATACOMM,TCS,BRITANNIA,CASTROLIND,ITC,SCHNEIDER,MARICO,RECLTD,MAHABANK,TATAELXSI,IRCTC,COALINDIA"
2026-04,Choppy,1.2355,20,"STAR,COLPAL,ASTERDM,NESTLEIND,HINDZINC,INDIGO,NAM-INDIA,HDFCAMC,TATACOMM,TCS,BRITANNIA,CASTROLIND,ITC,SCHNEIDER,MARICO,RECLTD,TATAELXSI,IRCTC,COALINDIA,MAHABANK"
2026-05,Bull,3.1944,20,"ACUTAAS,NATIONALUM,NAVINFLUOR,KARURVYSYA,GLENMARK,LAURUSLABS,AVANTIFEED,INDIANB,SYRMA,GESHIP,BLISSGVS,TORNTPHARM,MCX,ASHOKLEY,NETWEB,ONGC,JBCHEPHARM,CHENNPETRO,SHRIRAMFIN,MRPL"
