date,regime,portfolio_return,n_stocks,stocks
2025-05,Choppy,3.8238,20,"BAJFINANCE,ICICIBANK,ICICI,INDIGO,HINDPETRO,INFY,HCLTECH,COALINDIA,CHOLAHLDNG,TCS,BPCL,AXISBANK,HDFCBANK,ITC,CHOLAFIN,KOTAKBANK,RECLTD,TATAMOTORS,SHRIRAMFIN,HDFCAMC"
2025-06,Bull,-3.7779,20,"GODFRYPHLP,KOTAKBANK,BHARTIARTL,HDFCBANK,AVANTIFEED,ASTERDM,ITC,COROMANDEL,HCLTECH,ICICIBANK,ICICI,LUPIN,EICHERMOT,NH,GILLETTE,MARICO,SOLARINDS,INDUSTOWER,CIPLA,SHRIRAMFIN"
2025-07,Bull,-1.6624,20,"GODFRYPHLP,HDFCBANK,BHARTIARTL,ASTERDM,KOTAKBANK,GILLETTE,COROMANDEL,GLAXO,AVANTIFEED,ICICIBANK,ICICI,HCLTECH,BAJFINANCE,MCX,SHRIRAMFIN,NH,ECLERX,EICHERMOT,SBICARD,SOLARINDS"
2025-08,Bull,1.5383,20,"HDFCBANK,KOTAKBANK,ASTERDM,GODFRYPHLP,BHARTIARTL,GILLETTE,COROMANDEL,GLAXO,NH,UNIONBANK,BAJFINANCE,ICICIBANK,ICICI,MCX,ASHOKLEY,EICHERMOT,SBICARD,MARICO,SOLARINDS,HCLTECH"
2025-09,Bull,4.1374,20,"HDFCBANK,GODFRYPHLP,ASTERDM,ASHOKLEY,COROMANDEL,BHARTIARTL,KOTAKBANK,ICICIBANK,ICICI,NH,INDIANB,ECLERX,EICHERMOT,AVANTIFEED,UNIONBANK,MCX,TORNTPHARM,BAJFINANCE,HDFCAMC,MARICO"
2025-10,Bull,2.8552,20,"ASHOKLEY,GODFRYPHLP,BHARTIARTL,COROMANDEL,ASTERDM,KOTAKBANK,HDFCBANK,EICHERMOT,MARICO,BAJFINANCE,ECLERX,NH,THYROCARE,ICICIBANK,ICICI,INDIGO,HDFCAMC,SOLARINDS,M&M,M& M"
2025-11,Bull,0.1611,20,"BAJFINANCE,ASHOKLEY,GODFRYPHLP,EICHERMOT,MARUTI,KOTAKBANK,ASTERDM,HDFCBANK,COROMANDEL,BRITANNIA,SHRIRAMFIN,HEROMOTOCO,NH,INDIANB,CHOLAFIN,BHARTIARTL,HDFCAMC,IGL,UNIONBANK,ADANIPOWER"
2025-12,Bull,-2.8908,20,"BAJFINANCE,SHRIRAMFIN,GODFRYPHLP,ASHOKLEY,KOTAKBANK,EICHERMOT,INDIANB,BHARTIARTL,HDFCBANK,HEROMOTOCO,ASTERDM,STAR,CHOLAFIN,ADANIPOWER,BRITANNIA,CHOLAHLDNG,NH,UNIONBANK,CANBK,AXISBANK"
2026-01,Bull,4.6396,20,"SHRIRAMFIN,ASHOKLEY,GODFRYPHLP,BAJFINANCE,HDFCBANK,INDIANB,HEROMOTOCO,AXISBANK,KOTAKBANK,ASTERDM,EICHERMOT,UNIONBANK,CSBBANK,CANBK,MARUTI,FEDERALBNK,BHARTIARTL,BANKBARODA,COROMANDEL,SOUTHBANK"
2026-02,Bull,-15.4197,20,"ASHOKLEY,INDIANB,SHRIRAMFIN,KARURVYSYA,HINDZINC,MAHABANK,CSBBANK,GODFRYPHLP,UNIONBANK,NATIONALUM,CANBK,HEROMOTOCO,EICHERMOT,AUBANK,FEDERALBNK,BANKBARODA,MARUTI,SOUTHBANK,HDFCBANK,KOTAKBANK"
2026-03,Choppy,9.6964,20,"CANBK,UNIONBANK,INDIANB,SHRIRAMFIN,MAHABANK,BANKBARODA,COALINDIA,NATIONALUM,HINDZINC,AXISBANK,PNB,INDUSTOWER,ASHOKLEY,ADANIPOWER,KARURVYSYA,BPCL,HEROMOTOCO,STAR,BAJFINANCE,ASTERDM"
2026-04,Choppy,1.1004,20,"CANBK,UNIONBANK,INDIANB,SHRIRAMFIN,COALINDIA,MAHABANK,BANKBARODA,NATIONALUM,HINDZINC,PNB,ASHOKLEY,AXISBANK,ADANIPOWER,KARURVYSYA,BAJFINANCE,ASTERDM,INDUSTOWER,HEROMOTOCO,BPCL,STAR"
2026-05,Bull,0.3536,20,"INDIANB,COALINDIA,NATIONALUM,ASHOKLEY,KARURVYSYA,SHRIRAMFIN,ONGC,UNIONBANK,STAR,ASTERDM,HEROMOTOCO,INDUSTOWER,TORNTPHARM,FEDERALBNK,LUPIN,JBCHEPHARM,EICHERMOT,NMDC,AVANTIFEED,MAHABANK"
